ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
438,Talian Kasih Malaysia Helpline,Malaysian welfare crisis helpline 15999 for abuse neglect and family issues.,https://www.jkm.gov.my/,Helpline,crisis|abuse|family|malaysia,urgent,all,JKM Malaysia,English,Talian Kasih Malaysia Helpline Malaysian welfare crisis helpline 15999 for abuse neglect and family issues. crisis|abuse|family|malaysia Helpline urgent all English,talian kasih malaysia helplin malaysian welfar crisi helplin 15999 abus neglect famili issu crisi abus famili malaysia helplin urgent english
439,Kolej Matrikulasi Pahang Counselling,Kolej Matrikulasi Pahang student counselling unit for mental health services.,https://kmp.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMP,English,Kolej Matrikulasi Pahang Counselling Kolej Matrikulasi Pahang student counselling unit for mental health services. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi pahang counsel kolej matrikulasi pahang student counsel unit mental health servic student counsel malaysia matricul helplin support student english
440,Assertiveness Training Guide,Comprehensive guide to developing assertiveness skills for better communication.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Assertiveness,Guide,assertiveness|communication|boundaries|skills,supportive,all,CCI,English,Assertiveness Training Guide Comprehensive guide to developing assertiveness skills for better communication. assertiveness|communication|boundaries|skills Guide supportive all English,assert train guid comprehens guid develop assert skill better commun assert commun boundari skill guid support english
441,Mountain Stream Water Sounds,Eight-hour natural mountain stream sounds for relaxation and focus.,https://www.youtube.com/watch?v=bzfuE8XfHhg,Audio,relaxation|water|nature|stream,calm,all,Relaxing White Noise,English,Mountain Stream Water Sounds Eight-hour natural mountain stream sounds for relaxation and focus. relaxation|water|nature|stream Audio calm all English,mountain stream water sound eight hour natur mountain stream sound relax focu relax water natur stream audio calm english
442,Understanding Excoriation Disorder,Information about skin-picking disorder causes and habit reversal treatment.,https://www.bfrb.org/,Article,excoriation|bfrb|skin-picking|treatment,informative,all,TLC Foundation,English,Understanding Excoriation Disorder Information about skin-picking disorder causes and habit reversal treatment. excoriation|bfrb|skin-picking|treatment Article informative all English,understand excori disord inform skin pick disord caus habit revers treatment excori bfrb skin pick treatment articl inform english
443,Kolej Matrikulasi Perlis Counselling,Kolej Matrikulasi Perlis counselling services for student mental health support.,https://kmpl.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMPL,English,Kolej Matrikulasi Perlis Counselling Kolej Matrikulasi Perlis counselling services for student mental health support. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi perli counsel kolej matrikulasi perli counsel servic student mental health support student counsel malaysia matricul helplin support student english
444,Bilateral Art Therapy,Using bilateral stimulation through art creation for trauma processing.,https://www.getselfhelp.co.uk/bilateral.htm,Article,art-therapy|bilateral|trauma|emdr,supportive,all,Get Self Help,English,Bilateral Art Therapy Using bilateral stimulation through art creation for trauma processing. art-therapy|bilateral|trauma|emdr Article supportive all English,bilater art therapi use bilater stimul art creation trauma process art therapi bilater trauma emdr articl support english
445,Classical Guitar Study Music,Three-hour acoustic classical guitar for focused studying and concentration.,https://www.youtube.com/watch?v=Z4aOMZ3rNv0,Audio,studying|guitar|classical|focus,calm,students,Soothing Relaxation,English,Classical Guitar Study Music Three-hour acoustic classical guitar for focused studying and concentration. studying|guitar|classical|focus Audio calm students English,classic guitar studi music three hour acoust classic guitar focus studi concentr studi guitar classic focu audio calm student english
446,Understanding Selective Mutism,Educational resource about selective mutism in children and adults with treatment approaches.,https://www.selectivemutismcenter.org/,Article,selective-mutism|anxiety|communication|treatment,informative,young_adults,SMC,English,Understanding Selective Mutism Educational resource about selective mutism in children and adults with treatment approaches. selective-mutism|anxiety|communication|treatment Article informative young_adults English,understand select mutism educ resourc select mutism children adult treatment approach select mutism anxieti commun treatment articl inform young adult english
447,Kolej Matrikulasi Melaka Counselling,Kolej Matrikulasi Melaka student counselling unit for pre-university support.,https://kmml.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMML,English,Kolej Matrikulasi Melaka Counselling Kolej Matrikulasi Melaka student counselling unit for pre-university support. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi melaka counsel kolej matrikulasi melaka student counsel unit pre univers support student counsel malaysia matricul helplin support student english
448,Emotion Surfing Technique,DBT technique for riding emotional waves without being overwhelmed.,https://www.getselfhelp.co.uk/urge.htm,Article,dbt|emotions|urges|surfing,supportive,all,Get Self Help,English,Emotion Surfing Technique DBT technique for riding emotional waves without being overwhelmed. dbt|emotions|urges|surfing Article supportive all English,emot surf techniqu dbt techniqu ride emot wave without overwhelm dbt emot urg surf articl support english
449,Deep Space Ambient Meditation,Hour-long cosmic space ambient sounds for deep meditation and visualization.,https://www.youtube.com/watch?v=1ZYbU82GVz4,Audio,meditation|space|cosmic|visualization,calm,all,Meditative Mind,English,Deep Space Ambient Meditation Hour-long cosmic space ambient sounds for deep meditation and visualization. meditation|space|cosmic|visualization Audio calm all English,deep space ambient medit hour long cosmic space ambient sound deep medit visual medit space cosmic visual audio calm english
450,Women Centre for Change Penang,Women's crisis support counselling and shelter services Penang Malaysia.,https://www.wccpenang.org/,Helpline,crisis|women|abuse|malaysia,urgent,women,WCC Penang,English,Women Centre for Change Penang Women's crisis support counselling and shelter services Penang Malaysia. crisis|women|abuse|malaysia Helpline urgent women English,women centr chang penang women crisi support counsel shelter servic penang malaysia crisi women abus malaysia helplin urgent women english
451,Kolej Matrikulasi Pulau Pinang,Kolej Matrikulasi Pulau Pinang counselling services for student support.,https://kmpp.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMPP,English,Kolej Matrikulasi Pulau Pinang Kolej Matrikulasi Pulau Pinang counselling services for student support. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi pulau pinang kolej matrikulasi pulau pinang counsel servic student support student counsel malaysia matricul helplin support student english
452,Self-Sabotage Patterns Worksheet,Identifying and addressing common self-sabotaging behaviors and beliefs.,https://www.therapistaid.com/therapy-worksheet/self-sabotage,Guide,self-sabotage|awareness|patterns|change,supportive,all,Therapist Aid,English,Self-Sabotage Patterns Worksheet Identifying and addressing common self-sabotaging behaviors and beliefs. self-sabotage|awareness|patterns|change Guide supportive all English,self sabotag pattern worksheet identifi address common self sabotag behavior belief self sabotag awar pattern chang guid support english
453,Rain on Tent Sleep Sounds,Ten-hour gentle rain falling on tent canvas for cozy sleep ambience.,https://www.youtube.com/watch?v=q76bMs-NwRk,Audio,sleep|rain|cozy|tent,calm,all,Relaxing White Noise,English,Rain on Tent Sleep Sounds Ten-hour gentle rain falling on tent canvas for cozy sleep ambience. sleep|rain|cozy|tent Audio calm all English,rain tent sleep sound ten hour gentl rain fall tent canva cozi sleep ambienc sleep rain cozi tent audio calm english
454,Understanding Dependent Personality,Information about dependent personality disorder symptoms and therapeutic approaches.,https://www.psychologytoday.com/us/conditions/dependent-personality-disorder,Article,personality|dependency|treatment|therapy,informative,all,Psychology Today,English,Understanding Dependent Personality Information about dependent personality disorder symptoms and therapeutic approaches. personality|dependency|treatment|therapy Article informative all English,understand depend person inform depend person disord symptom therapeut approach person depend treatment therapi articl inform english
455,Kolej Matrikulasi Selangor Counselling,Kolej Matrikulasi Selangor student counselling unit for mental health services.,https://kmselangor.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMSelangor,English,Kolej Matrikulasi Selangor Counselling Kolej Matrikulasi Selangor student counselling unit for mental health services. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi selangor counsel kolej matrikulasi selangor student counsel unit mental health servic student counsel malaysia matricul helplin support student english
456,Cognitive Flexibility Training,Exercises to improve cognitive flexibility and reduce rigid thinking patterns.,https://www.therapistaid.com/therapy-worksheet/cognitive-flexibility,Guide,cognition|flexibility|thinking|exercises,supportive,all,Therapist Aid,English,Cognitive Flexibility Training Exercises to improve cognitive flexibility and reduce rigid thinking patterns. cognition|flexibility|thinking|exercises Guide supportive all English,cognit flexibl train exercis improv cognit flexibl reduc rigid think pattern cognit flexibl think exercis guid support english
457,Monastery Bells Meditation,Two-hour monastery meditation bells for mindfulness practice and contemplation.,https://www.youtube.com/watch?v=jXdvGYYGqtw,Audio,meditation|bells|monastery|mindfulness,calm,all,Meditative Mind,English,Monastery Bells Meditation Two-hour monastery meditation bells for mindfulness practice and contemplation. meditation|bells|monastery|mindfulness Audio calm all English,monasteri bell medit two hour monasteri medit bell mind practic contempl medit bell monasteri mind audio calm english
458,All Women's Action Society,AWAM crisis support and counselling for women facing violence Malaysia.,https://www.awam.org.my/,Helpline,crisis|women|violence|malaysia,urgent,women,AWAM,English,All Women's Action Society AWAM crisis support and counselling for women facing violence Malaysia. crisis|women|violence|malaysia Helpline urgent women English,women action societi awam crisi support counsel women face violenc malaysia crisi women violenc malaysia helplin urgent women english
459,Kolej Matrikulasi Perak Counselling,Kolej Matrikulasi Perak counselling services for pre-university students.,https://kmperak.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMPerak,English,Kolej Matrikulasi Perak Counselling Kolej Matrikulasi Perak counselling services for pre-university students. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi perak counsel kolej matrikulasi perak counsel servic pre univers student student counsel malaysia matricul helplin support student english
460,Dealing with Flashbacks Guide,Practical strategies for managing and grounding during trauma flashbacks.,https://www.getselfhelp.co.uk/flashbacks.htm,Article,flashbacks|trauma|grounding|coping,supportive,all,Get Self Help,English,Dealing with Flashbacks Guide Practical strategies for managing and grounding during trauma flashbacks. flashbacks|trauma|grounding|coping Article supportive all English,deal flashback guid practic strategi manag ground trauma flashback flashback trauma ground cope articl support english
461,Binaural Beats Anxiety Relief,Hour-long theta binaural beats specifically for anxiety and stress reduction.,https://www.youtube.com/watch?v=kzEAGlhKZdg,Audio,anxiety|binaural|theta-waves|stress,calm,all,Meditative Mind,English,Binaural Beats Anxiety Relief Hour-long theta binaural beats specifically for anxiety and stress reduction. anxiety|binaural|theta-waves|stress Audio calm all English,binaur beat anxieti relief hour long theta binaur beat specif anxieti stress reduct anxieti binaur theta wave stress audio calm english
462,Understanding Avoidant Personality,Educational resource about avoidant personality disorder and treatment options.,https://www.psychologytoday.com/us/conditions/avoidant-personality-disorder,Article,personality|avoidant|social-anxiety|treatment,informative,all,Psychology Today,English,Understanding Avoidant Personality Educational resource about avoidant personality disorder and treatment options. personality|avoidant|social-anxiety|treatment Article informative all English,understand avoid person educ resourc avoid person disord treatment option person avoid social anxieti treatment articl inform english
463,Kolej Matrikulasi Kelantan Counselling,Kolej Matrikulasi Kelantan student counselling unit for mental health support.,https://kmk.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMK,English,Kolej Matrikulasi Kelantan Counselling Kolej Matrikulasi Kelantan student counselling unit for mental health support. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi kelantan counsel kolej matrikulasi kelantan student counsel unit mental health support student counsel malaysia matricul helplin support student english
464,Window Shopping Mindfulness,Using window shopping as mindfulness practice for present moment awareness.,https://www.mindful.org/,Article,mindfulness|awareness|practice|daily-life,calm,all,Mindful,English,Window Shopping Mindfulness Using window shopping as mindfulness practice for present moment awareness. mindfulness|awareness|practice|daily-life Article calm all English,window shop mind use window shop mind practic present moment awar mind awar practic daili life articl calm english
465,Jungle Rainforest Sounds Sleep,Eight-hour tropical rainforest ambience for deep sleep and relaxation.,https://www.youtube.com/watch?v=xNN7iTA57jg,Audio,sleep|rainforest|tropical|nature,calm,all,Relaxing White Noise,English,Jungle Rainforest Sounds Sleep Eight-hour tropical rainforest ambience for deep sleep and relaxation. sleep|rainforest|tropical|nature Audio calm all English,jungl rainforest sound sleep eight hour tropic rainforest ambienc deep sleep relax sleep rainforest tropic natur audio calm english
466,Understanding Impulse Control Disorders,Information about impulse control disorders types symptoms and treatments.,https://www.psychologytoday.com/us/basics/impulse-control-disorders,Article,impulse-control|disorders|treatment|awareness,informative,all,Psychology Today,English,Understanding Impulse Control Disorders Information about impulse control disorders types symptoms and treatments. impulse-control|disorders|treatment|awareness Article informative all English,understand impuls control disord inform impuls control disord type symptom treatment impuls control disord treatment awar articl inform english
467,Kolej Matrikulasi Sabah Counselling,Kolej Matrikulasi Sabah counselling services for pre-university student support.,https://kmsabah.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMSabah,English,Kolej Matrikulasi Sabah Counselling Kolej Matrikulasi Sabah counselling services for pre-university student support. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi sabah counsel kolej matrikulasi sabah counsel servic pre univers student support student counsel malaysia matricul helplin support student english
468,Opposite Action DBT Skill,Using opposite action technique to change emotions by changing behavior.,https://www.therapistaid.com/therapy-worksheet/dbt-opposite-action,Guide,dbt|emotions|behavior|change,supportive,all,Therapist Aid,English,Opposite Action DBT Skill Using opposite action technique to change emotions by changing behavior. dbt|emotions|behavior|change Guide supportive all English,opposit action dbt skill use opposit action techniqu chang emot chang behavior dbt emot behavior chang guid support english
469,Piano and Rain Sleep Music,Ten-hour soft piano with rain sounds for peaceful continuous sleep.,https://www.youtube.com/watch?v=hlWiI4xVXKY,Audio,sleep|piano|rain|peaceful,calm,all,Soothing Relaxation,English,Piano and Rain Sleep Music Ten-hour soft piano with rain sounds for peaceful continuous sleep. sleep|piano|rain|peaceful Audio calm all English,piano rain sleep music ten hour soft piano rain sound peac continu sleep sleep piano rain peac audio calm english
470,WAO Women's Aid Organisation,WAO crisis line and shelter services for women experiencing violence Malaysia.,https://wao.org.my/,Helpline,crisis|women|violence|malaysia,urgent,women,WAO,English,WAO Women's Aid Organisation WAO crisis line and shelter services for women experiencing violence Malaysia. crisis|women|violence|malaysia Helpline urgent women English,wao women aid organis wao crisi line shelter servic women experienc violenc malaysia crisi women violenc malaysia helplin urgent women english
471,Kolej Matrikulasi Sarawak Counselling,Kolej Matrikulasi Sarawak student counselling unit for mental health services.,https://kmsar.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMSarawak,English,Kolej Matrikulasi Sarawak Counselling Kolej Matrikulasi Sarawak student counselling unit for mental health services. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi sarawak counsel kolej matrikulasi sarawak student counsel unit mental health servic student counsel malaysia matricul helplin support student english
472,Reality Testing Techniques,Strategies for reality testing to manage paranoid thoughts and perceptual distortions.,https://www.getselfhelp.co.uk/reality.htm,Article,reality-testing|paranoia|thoughts|grounding,supportive,all,Get Self Help,English,Reality Testing Techniques Strategies for reality testing to manage paranoid thoughts and perceptual distortions. reality-testing|paranoia|thoughts|grounding Article supportive all English,realiti test techniqu strategi realiti test manag paranoid thought perceptu distort realiti test paranoia thought ground articl support english
473,Ocean Cave Sounds Sleep,Eight-hour ocean waves echoing in sea cave for unique sleep ambience.,https://www.youtube.com/watch?v=WHPYKLM5XsE,Audio,sleep|ocean|cave|unique,calm,all,Relaxing White Noise,English,Ocean Cave Sounds Sleep Eight-hour ocean waves echoing in sea cave for unique sleep ambience. sleep|ocean|cave|unique Audio calm all English,ocean cave sound sleep eight hour ocean wave echo sea cave uniqu sleep ambienc sleep ocean cave uniqu audio calm english
474,Understanding Narcissistic Abuse,Educational resource about recognizing and recovering from narcissistic abuse.,https://www.psychologytoday.com/us/basics/narcissism/narcissistic-abuse,Article,abuse|narcissism|recovery|awareness,informative,all,Psychology Today,English,Understanding Narcissistic Abuse Educational resource about recognizing and recovering from narcissistic abuse. abuse|narcissism|recovery|awareness Article informative all English,understand narcissist abus educ resourc recogn recov narcissist abus abus narciss recoveri awar articl inform english
475,Kolej Matrikulasi Terengganu Counselling,Kolej Matrikulasi Terengganu counselling services for student mental health.,https://kmt.matrik.edu.my/,Helpline,students|counseling|malaysia|matriculation,supportive,students,KMT,English,Kolej Matrikulasi Terengganu Counselling Kolej Matrikulasi Terengganu counselling services for student mental health. students|counseling|malaysia|matriculation Helpline supportive students English,kolej matrikulasi terengganu counsel kolej matrikulasi terengganu counsel servic student mental health student counsel malaysia matricul helplin support student english
476,Dealing with Loneliness Guide,Evidence-based strategies for coping with and reducing chronic loneliness.,https://www.psychologytoday.com/us/blog/the-squeaky-wheel/201311/10-surprising-facts-about-loneliness,Article,loneliness|connection|coping|isolation,supportive,all,Psychology Today,English,Dealing with Loneliness Guide Evidence-based strategies for coping with and reducing chronic loneliness. loneliness|connection|coping|isolation Article supportive all English,deal loneli guid evid base strategi cope reduc chronic loneli loneli connect cope isol articl support english
477,Deep Sleep Hypnosis Rain,Full-night hypnosis with rain sounds for overcoming insomnia naturally.,https://www.youtube.com/watch?v=1vkjJLbulJQ,Audio,sleep|hypnosis|rain|insomnia,calm,all,Michael Sealey,English,Deep Sleep Hypnosis Rain Full-night hypnosis with rain sounds for overcoming insomnia naturally. sleep|hypnosis|rain|insomnia Audio calm all English,deep sleep hypnosi rain full night hypnosi rain sound overcom insomnia natur sleep hypnosi rain insomnia audio calm english
478,Childline Malaysia Helpline,15999 hotline for child protection and counselling services Malaysia.,https://cwc.jkm.gov.my/,Helpline,children|crisis|protection|malaysia,urgent,children,JKM Childline,English,Childline Malaysia Helpline 15999 hotline for child protection and counselling services Malaysia. children|crisis|protection|malaysia Helpline urgent children English,childlin malaysia helplin 15999 hotlin child protect counsel servic malaysia children crisi protect malaysia helplin urgent children english
479,Institut Kemahiran MARA Counselling,Institut Kemahiran MARA counselling services for vocational students nationwide.,https://www.ikm.edu.my/,Helpline,students|counseling|malaysia|vocational,supportive,students,IKM,English,Institut Kemahiran MARA Counselling Institut Kemahiran MARA counselling services for vocational students nationwide. students|counseling|malaysia|vocational Helpline supportive students English,institut kemahiran mara counsel institut kemahiran mara counsel servic vocat student nationwid student counsel malaysia vocat helplin support student english
480,Imagery for Anxiety Relief,Guided imagery techniques for immediate anxiety reduction and relaxation.,https://www.anxietycanada.com/articles/calm-breathing/,Article,imagery|anxiety|visualization|relaxation,calm,all,Anxiety Canada,English,Imagery for Anxiety Relief Guided imagery techniques for immediate anxiety reduction and relaxation. imagery|anxiety|visualization|relaxation Article calm all English,imageri anxieti relief guid imageri techniqu immedi anxieti reduct relax imageri anxieti visual relax articl calm english
481,Forest Birds Morning Sounds,Two-hour peaceful forest dawn chorus for energizing morning meditation.,https://www.youtube.com/watch?v=xNN7iTA57jg,Audio,meditation|birds|forest|morning,calm,all,Relaxing White Noise,English,Forest Birds Morning Sounds Two-hour peaceful forest dawn chorus for energizing morning meditation. meditation|birds|forest|morning Audio calm all English,forest bird morn sound two hour peac forest dawn choru energ morn medit medit bird forest morn audio calm english
482,Understanding Compulsive Lying,Information about compulsive lying causes psychological factors and interventions.,https://www.psychologytoday.com/us/blog/why-bad-looks-good/202008/the-psychology-compulsive-liars,Article,lying|compulsive|psychology|behavior,informative,all,Psychology Today,English,Understanding Compulsive Lying Information about compulsive lying causes psychological factors and interventions. lying|compulsive|psychology|behavior Article informative all English,understand compuls lie inform compuls lie caus psycholog factor intervent lie compuls psycholog behavior articl inform english
483,Politeknik Sultan Salahuddin Counselling,Politeknik Sultan Salahuddin Abdul Aziz Shah counselling for students Shah Alam.,https://www.psa.edu.my/,Helpline,students|counseling|malaysia|polytechnic,supportive,students,PSA,English,Politeknik Sultan Salahuddin Counselling Politeknik Sultan Salahuddin Abdul Aziz Shah counselling for students Shah Alam. students|counseling|malaysia|polytechnic Helpline supportive students English,politeknik sultan salahuddin counsel politeknik sultan salahuddin abdul aziz shah counsel student shah alam student counsel malaysia polytechn helplin support student english
484,Building Self-Esteem Workbook,Comprehensive CBT workbook for improving self-esteem and self-worth.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Self-Esteem,Guide,self-esteem|cbt|worth|workbook,supportive,all,CCI,English,Building Self-Esteem Workbook Comprehensive CBT workbook for improving self-esteem and self-worth. self-esteem|cbt|worth|workbook Guide supportive all English,build self esteem workbook comprehens cbt workbook improv self esteem self worth self esteem cbt worth workbook guid support english
485,Canyon Wind Meditation Sounds,Hour-long desert canyon wind sounds for meditation and contemplation.,https://www.youtube.com/watch?v=1ZYbU82GVz4,Audio,meditation|wind|desert|contemplation,calm,all,Meditative Mind,English,Canyon Wind Meditation Sounds Hour-long desert canyon wind sounds for meditation and contemplation. meditation|wind|desert|contemplation Audio calm all English,canyon wind medit sound hour long desert canyon wind sound medit contempl medit wind desert contempl audio calm english
486,MINDEF Psychosocial Services,Malaysian Armed Forces psychosocial support and counselling services.,https://www.mod.gov.my/,Helpline,military|counseling|malaysia|support,supportive,military,MINDEF,English,MINDEF Psychosocial Services Malaysian Armed Forces psychosocial support and counselling services. military|counseling|malaysia|support Helpline supportive military English,mindef psychosoci servic malaysian arm forc psychosoci support counsel servic militari counsel malaysia support helplin support militari english
487,Politeknik Sultan Haji Ahmad Shah,Politeknik Sultan Haji Ahmad Shah counselling unit for student support Pahang.,https://www.polisas.edu.my/,Helpline,students|counseling|malaysia|polytechnic,supportive,students,POLISAS,English,Politeknik Sultan Haji Ahmad Shah Politeknik Sultan Haji Ahmad Shah counselling unit for student support Pahang. students|counseling|malaysia|polytechnic Helpline supportive students English,politeknik sultan haji ahmad shah politeknik sultan haji ahmad shah counsel unit student support pahang student counsel malaysia polytechn helplin support student english
488,Managing Intrusive Thoughts,CBT strategies for managing unwanted intrusive thoughts in OCD and anxiety.,https://www.anxietycanada.com/articles/obsessive-compulsive-disorder-ocd/,Article,intrusive-thoughts|ocd|anxiety|cbt,supportive,all,Anxiety Canada,English,Managing Intrusive Thoughts CBT strategies for managing unwanted intrusive thoughts in OCD and anxiety. intrusive-thoughts|ocd|anxiety|cbt Article supportive all English,manag intrus thought cbt strategi manag unwant intrus thought ocd anxieti intrus thought ocd anxieti cbt articl support english
489,Deep Space Journey Ambient,Two-hour space journey ambient music for meditation and cosmic exploration.,https://www.youtube.com/watch?v=1ZYbU82GVz4,Audio,meditation|space|ambient|journey,calm,all,Meditative Mind,English,Deep Space Journey Ambient Two-hour space journey ambient music for meditation and cosmic exploration. meditation|space|ambient|journey Audio calm all English,deep space journey ambient two hour space journey ambient music medit cosmic explor medit space ambient journey audio calm english
490,Understanding Factitious Disorder,Educational resource about factitious disorder and Munchausen syndrome.,https://www.psychologytoday.com/us/conditions/factitious-disorder,Article,factitious|munchausen|disorder|awareness,informative,all,Psychology Today,English,Understanding Factitious Disorder Educational resource about factitious disorder and Munchausen syndrome. factitious|munchausen|disorder|awareness Article informative all English,understand factiti disord educ resourc factiti disord munchausen syndrom factiti munchausen disord awar articl inform english
491,Politeknik Ibrahim Sultan Counselling,Politeknik Ibrahim Sultan student counselling services Johor Malaysia.,https://www.polipd.edu.my/,Helpline,students|counseling|malaysia|polytechnic,supportive,students,PIS,English,Politeknik Ibrahim Sultan Counselling Politeknik Ibrahim Sultan student counselling services Johor Malaysia. students|counseling|malaysia|polytechnic Helpline supportive students English,politeknik ibrahim sultan counsel politeknik ibrahim sultan student counsel servic johor malaysia student counsel malaysia polytechn helplin support student english
492,Dealing with Rejection Sensitivity,Strategies for managing rejection sensitive dysphoria and social pain.,https://www.additudemag.com/rejection-sensitive-dysphoria-adhd-emotional-dysregulation/,Article,rejection|sensitivity|adhd|emotions,supportive,young_adults,ADDitude,English,Dealing with Rejection Sensitivity Strategies for managing rejection sensitive dysphoria and social pain. rejection|sensitivity|adhd|emotions Article supportive young_adults English,deal reject sensit strategi manag reject sensit dysphoria social pain reject sensit adhd emot articl support young adult english
493,Thunderstorm and Fireplace Sleep,Eight-hour distant thunder with cozy fireplace for ultimate sleep comfort.,https://www.youtube.com/watch?v=nDq6TstdEi8,Audio,sleep|thunder|fireplace|cozy,calm,all,Relaxing White Noise,English,Thunderstorm and Fireplace Sleep Eight-hour distant thunder with cozy fireplace for ultimate sleep comfort. sleep|thunder|fireplace|cozy Audio calm all English,thunderstorm fireplac sleep eight hour distant thunder cozi fireplac ultim sleep comfort sleep thunder fireplac cozi audio calm english
495,Politeknik Tuanku Sultanah Bahiyah,Politeknik Tuanku Sultanah Bahiyah counselling services Kedah students.,https://www.ptsb.edu.my/,Helpline,students|counseling|malaysia|polytechnic,supportive,students,PTSB,English,Politeknik Tuanku Sultanah Bahiyah Politeknik Tuanku Sultanah Bahiyah counselling services Kedah students. students|counseling|malaysia|polytechnic Helpline supportive students English,politeknik tuanku sultanah bahiyah politeknik tuanku sultanah bahiyah counsel servic kedah student student counsel malaysia polytechn helplin support student english
496,Understanding Dependent Relationships,Guide to recognizing and healing from codependent relationship patterns.,https://www.psychologytoday.com/us/basics/codependency,Article,codependency|relationships|boundaries|healing,informative,all,Psychology Today,English,Understanding Dependent Relationships Guide to recognizing and healing from codependent relationship patterns. codependency|relationships|boundaries|healing Article informative all English,understand depend relationship guid recogn heal codepend relationship pattern codepend relationship boundari heal articl inform english
497,Shamanic Drumming Meditation,Hour-long shamanic drumming for trance meditation and spiritual journey.,https://www.youtube.com/watch?v=3eYwHghWoZ8,Audio,meditation|shamanic|drumming|spiritual,calm,all,Meditative Mind,English,Shamanic Drumming Meditation Hour-long shamanic drumming for trance meditation and spiritual journey. meditation|shamanic|drumming|spiritual Audio calm all English,shaman drum medit hour long shaman drum tranc medit spiritu journey medit shaman drum spiritu audio calm english
498,PDRM Counselling Services,Royal Malaysia Police counselling and psychosocial support for officers families.,https://www.rmp.gov.my/,Helpline,police|counseling|malaysia|support,supportive,police,PDRM,English,PDRM Counselling Services Royal Malaysia Police counselling and psychosocial support for officers families. police|counseling|malaysia|support Helpline supportive police English,pdrm counsel servic royal malaysia polic counsel psychosoci support offic famili polic counsel malaysia support helplin support polic english
499,Politeknik Sultan Azlan Shah Counselling,Politeknik Sultan Azlan Shah student counselling unit Perak Malaysia.,https://www.psas.edu.my/,Helpline,students|counseling|malaysia|polytechnic,supportive,students,PSAS,English,Politeknik Sultan Azlan Shah Counselling Politeknik Sultan Azlan Shah student counselling unit Perak Malaysia. students|counseling|malaysia|polytechnic Helpline supportive students English,politeknik sultan azlan shah counsel politeknik sultan azlan shah student counsel unit perak malaysia student counsel malaysia polytechn helplin support student english
500,Perfectionism Recovery Guide,Understanding and overcoming perfectionism for better mental health.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Perfectionism,Guide,perfectionism|recovery|standards|wellbeing,supportive,all,CCI,English,Perfectionism Recovery Guide Understanding and overcoming perfectionism for better mental health. perfectionism|recovery|standards|wellbeing Guide supportive all English,perfection recoveri guid understand overcom perfection better mental health perfection recoveri standard wellb guid support english
501,Winter Wind Snow Sounds,Eight-hour gentle winter wind with soft snow falling for sleep.,https://www.youtube.com/watch?v=eoeOQ8y76FM,Audio,sleep|winter|wind|snow,calm,all,Relaxing White Noise,English,Winter Wind Snow Sounds Eight-hour gentle winter wind with soft snow falling for sleep. sleep|winter|wind|snow Audio calm all English,winter wind snow sound eight hour gentl winter wind soft snow fall sleep sleep winter wind snow audio calm english
502,Understanding Paranoid Personality,Educational information about paranoid personality disorder and treatment.,https://www.psychologytoday.com/us/conditions/paranoid-personality-disorder,Article,personality|paranoid|distrust|treatment,informative,all,Psychology Today,English,Understanding Paranoid Personality Educational information about paranoid personality disorder and treatment. personality|paranoid|distrust|treatment Article informative all English,understand paranoid person educ inform paranoid person disord treatment person paranoid distrust treatment articl inform english
